iid,airline,origin,aircraft,impact,flight_date,damage,num_birds,bird_size,sky_conditions,altitude_ft,heavy_flag
212076,PIEDMONT AIRLINES,South Carolina,DHC8 DASH 8,None,10/13/02 0:00,No damage,1,Medium,No Cloud,"1,900",No
220038,FLIGHT OPTIONS,Louisiana,CITATIONJET,None,10/13/02 0:00,No damage,1,Small,No Cloud,500,No
208097,DELTA AIR LINES,Georgia,MD-88,None,10/13/02 0:00,No damage,1,Small,No Cloud,"1,000",No
215477,HAWAIIAN AIR,Hawaii,B-717-200,None,10/13/02 0:00,No damage,1,Medium,Some Cloud,0,No
214302,SOUTHWEST AIRLINES,Illinois,B-737-700,None,10/13/02 0:00,No damage,1,Medium,No Cloud,"3,000",Yes
215808,ALLEGHENYAIRLINES,Pennsylvania,DHC8 DASH 8,None,10/14/02 0:00,No damage,1,Small,No Cloud,900,No
216549,SOUTHWEST AIRLINES,New York,B-737-700,None,10/14/02 0:00,No damage,1,Medium,No Cloud,"2,000",Yes
212985,BUSINESS,Alaska,BE-200 KING,None,10/14/02 0:00,Caused damage,1,Medium,No Cloud,75,No
218030,JETBLUE AIRWAYS,Puerto Rico,A-320,None,10/15/02 0:00,No damage,1,Medium,No Cloud,40,No
213213,US AIRWAYS*,Florida,A-319,None,10/15/02 0:00,No damage,1,Medium,Overcast,0,No
214806,AMERICAN AIRLINES,Louisiana,MD-80,None,10/15/02 0:00,No damage,1,Small,Some Cloud,"2,000",No
217599,ABX AIR,Ohio,DC-9-30,None,10/15/02 0:00,No damage,1,Medium,Some Cloud,"5,000",No
214282,ALOHA AIRLINES,Hawaii,B-737-200,None,10/16/02 0:00,No damage,1,Small,Some Cloud,0,Yes
213959,SOUTHWEST AIRLINES,North Carolina,B-737,None,10/16/02 0:00,Caused damage,1,Medium,Some Cloud,"3,000",Yes
215727,SOUTHWEST AIRLINES,Maryland,B-737,None,10/16/02 0:00,No damage,1,Medium,Overcast,0,Yes
214792,CONTINENTAL AIRLINES,Hawaii,B-767-400,None,10/16/02 0:00,No damage,1,Small,Overcast,0,Yes
217390,AMERICAN EAGLE AIRLINES,Wisconsin,CL-RJ700,None,10/16/02 0:00,No damage,1,Small,No Cloud,"2,000",No
217506,SOUTHWEST AIRLINES,Florida,B-737-300,None,10/16/02 0:00,Caused damage,1,Medium,No Cloud,300,Yes
214080,DELTA AIR LINES,New York,B-767-300,None,10/16/02 0:00,No damage,1,Medium,No Cloud,500,Yes
218562,SOUTHWEST AIRLINES,Utah,B-737-300,None,10/16/02 0:00,No damage,1,Medium,No Cloud,"1,000",Yes
216101,ABX AIR,Tennessee,DC-9-40,None,10/16/02 0:00,Caused damage,1,Small,No Cloud,"1,500",No
220799,BUSINESS,Alabama,IAI-1124,None,10/17/02 0:00,No damage,1,Small,No Cloud,200,No
219590,SOUTHWEST AIRLINES,Alabama,B-737-700,None,10/17/02 0:00,No damage,1,Small,No Cloud,0,Yes
217757,PIEDMONT AIRLINES,Florida,DHC8 DASH 8,None,10/17/02 0:00,No damage,1,Small,No Cloud,200,No
219144,EXPRESSJET (CONTINENTAL EXPRS),Wisconsin,EMB-135,None,10/17/02 0:00,No damage,1,Large,No Cloud,"3,000",No
218255,SKYWAY AIRLINES,Kentucky,BE-1900,None,10/18/02 0:00,No damage,1,Small,No Cloud,0,No
215469,HAWAIIAN AIR,Hawaii,B-717-200,None,10/18/02 0:00,No damage,1,Small,Some Cloud,0,No
216816,AMERICAN EAGLE AIRLINES,Texas,SAAB-340,None,10/19/02 0:00,No damage,1,Small,Some Cloud,100,No
216036,UNITED AIRLINES,Missouri,A-319,None,10/19/02 0:00,No damage,1,Small,No Cloud,200,No
216220,HAWAIIAN AIR,Hawaii,B-717-200,None,10/19/02 0:00,No damage,1,Small,No Cloud,0,No
217372,JAPAN AIRLINES,Washington,B-747-400,None,10/19/02 0:00,Caused damage,1,Small,No Cloud,400,No
216165,US AIRWAYS*,New Jersey,B-737-300,None,10/20/02 0:00,No damage,1,Medium,Some Cloud,"2,000",Yes
214293,US AIRWAYS*,DC,A-319,None,10/20/02 0:00,No damage,1,Medium,No Cloud,"2,200",No
213168,HAWAIIAN AIR,Hawaii,B-717-200,None,10/20/02 0:00,No damage,1,Small,No Cloud,10,No
212563,BUSINESS,Alabama,CITATION II,None,10/20/02 0:00,No damage,1,Small,Overcast,0,No
214436,BUSINESS,California,C-208,None,10/20/02 0:00,No damage,1,Small,No Cloud,"4,500",No
211319,SOUTHWEST AIRLINES,Texas,B-737-300,None,10/20/02 0:00,No damage,1,Small,No Cloud,"1,500",Yes
215552,AMERICAN AIRLINES,DC,MD-80,None,10/21/02 0:00,No damage,1,Small,Some Cloud,"1,000",No
222920,NORTHWEST AIRLINES,California,B-747-1/200,Engine Shut Down,10/21/02 0:00,No damage,1,Medium,Overcast,0,No
6230,MILITARY,Florida,KC-135R,Precautionary Landing,10/21/02 0:00,No damage,1,Medium,Some Cloud,4,No
6882,MILITARY,Texas,AT-38B,None,10/21/02 0:00,No damage,1,Medium,No Cloud,"1,300",No
216352,MESA AIRLINES,Louisiana,EMB-145,None,10/22/02 0:00,No damage,1,Small,Overcast,0,No
215984,PSA AIRLINES,Tennessee,DORNIER 328,None,10/22/02 0:00,No damage,1,Medium,No Cloud,100,No
219589,AIRTRAN AIRWAYS,DC,DC-9-30,None,10/22/02 0:00,No damage,1,Medium,No Cloud,"2,700",No
213323,SOUTHWEST AIRLINES,California,B-737-300,None,10/22/02 0:00,No damage,1,Medium,No Cloud,10,Yes
219278,PRIVATELY OWNED,California,BE-36,None,10/22/02 0:00,Caused damage,1,Large,Overcast,0,No
222507,AMERICAN AIRLINES,Texas,MD-82,None,10/22/02 0:00,No damage,1,Small,Overcast,0,No
215099,COMAIR AIRLINES,West Virginia,CL-RJ100/200,None,10/22/02 0:00,Caused damage,1,Medium,No Cloud,300,No
216483,SOUTHWEST AIRLINES,Missouri,B-737-700,None,10/23/02 0:00,No damage,1,Small,Overcast,600,Yes
212993,ABX AIR,Ohio,DC-9-30,None,10/23/02 0:00,No damage,1,Small,No Cloud,800,No
